order_id,user_id,amount,quantity,created_at,status
A4434,0021,479.46,6,2025-10-06T15:00:00Z,refunded
A0177,0677,124.64,4,2025-06-15T01:35:00Z,Refunded
A2972,0763,,4,2025-11-14T23:05:00Z,Refunded
A2288,0197,397.26,7,2025-10-16T20:04:00Z,Paid
A3985,0460,374.25,1,2025-01-16T03:21:00Z,Pending
A0248,0662,449.42,,2025-03-18T09:48:00Z,refunded
A3540,0510,255.56,7,2025-01-07T06:12:00Z,PAID
A1999,0758,101.54,5,2025-09-09T18:33:00Z,Refunded
A0361,0802,,9,2025-05-21T10:47:00Z,Refunded
A3551,0099,463.63,9,2025-04-21T04:24:00Z,Paid
A3113,0520,154.48,5,2025-11-13T09:24:00Z,refunded
A0096,0301,313.08,6,2025-10-29T16:42:00Z,Refunded
A3713,0634,41.45,6,2025-03-23T21:53:00Z,Pending
A3488,0870,,1,2025-01-07T07:34:00Z,refunded
A3705,0031,12.77,5,2025-04-23T07:23:00Z,refunded
A4728,0310,467.76,9,2025-09-08T11:26:00Z,Pending
A0269,0784,283.75,6,2025-02-24T12:50:00Z,Paid
A4776,0568,471.95,7,2025-10-30T13:14:00Z,refund
A0842,0677,105.67,2,2025-08-20T23:21:00Z,refunded
A2193,0222,99.03,,2025-05-16T21:33:00Z,refunded
A2443,0015,55.96,2,,
A4006,0424,54.97,5,2025-06-20T16:49:00Z,Refunded
A4470,0512,394.45,1,2025-06-01T11:47:00Z,paid
A2753,0215,392.53,,2025-03-20T02:12:00Z,refunded
A3572,0811,214.01,6,2025-02-26T16:39:00Z,paid
A3567,0673,6.5,5,2025-01-23T17:21:00Z,Pending
A3157,0556,5.82,6,2025-03-12T22:27:00Z,Refunded
A3029,0057,50.41,,2025-06-02T17:07:00Z,Paid
A4777,0090,143.29,4,2025-11-07T19:59:00Z,
A1694,0129,135.28,,2025-07-11T09:18:00Z,paid
A3345,0692,167.87,5,2025-06-18T13:12:00Z,Refunded
A2410,0510,346.2,9,2025-04-04T13:59:00Z,
A0703,0400,302.45,2,2025-05-07T01:28:00Z,paid
A1854,0492,289.79,3,2025-11-13T09:46:00Z,Paid
A1994,0194,362.07,,2025-05-23T13:00:00Z,refunded
A0868,0188,63.05,7,2025-08-10T17:02:00Z,Refunded
A2882,0397,413.86,9,2025-01-10T12:52:00Z,refunded
A0877,0103,110.54,6,2025-03-02T15:13:00Z,refund
A3859,0401,345.72,6,2025-10-02T11:15:00Z,Pending
A0806,0879,290.68,8,2025-07-26T08:01:00Z,
A2802,0325,335.42,7,2025-07-30T03:29:00Z,Paid
A1758,0166,53.72,,2025-09-11T11:52:00Z,PAID
A3320,0890,187.25,3,2025-01-21T03:18:00Z,Pending
A2291,0943,401.93,2,2025-04-26T18:44:00Z,
A0062,0997,469.5,5,2025-02-25T23:10:00Z,Pending
A4402,0187,266.99,5,2025-11-27T03:18:00Z,Paid
A4078,0573,141.1,1,2025-09-11T01:01:00Z,PAID
A0014,0577,156.48,,2025-12-19T15:54:00Z,refunded
A2859,0652,434.8,4,2025-08-12T21:05:00Z,Refunded
A3961,0336,482.77,1,2025-02-01T12:55:00Z,refund
A0600,0016,66.75,2,,paid
A0139,0072,289.19,8,2025-09-20T02:38:00Z,refunded
A0103,0307,29.68,2,2025-10-20T22:54:00Z,refunded
A5000,0755,211.2,9,2025-05-20T17:23:00Z,Paid
A1868,0479,66.33,,2025-06-03T06:19:00Z,Paid
A3870,0417,365.41,9,2025-08-28T05:53:00Z,refund
A4295,0737,440.34,3,2025-03-27T22:39:00Z,refunded
A4743,0772,25.82,5,2025-01-07T09:12:00Z,refund
A2404,0890,27.34,9,2025-03-21T13:27:00Z,Pending
A3080,0716,112.76,6,2025-05-10T15:26:00Z,PAID
A0250,0931,236.11,,2025-11-19T08:49:00Z,refunded
A3792,0173,345.51,7,2025-12-10T23:40:00Z,refunded
A1713,0146,298.32,1,2025-09-13T04:01:00Z,refunded
A2747,0792,146.12,5,2025-05-29T01:37:00Z,Paid
A3092,0044,228.04,2,,paid
A4807,0883,413.91,9,2025-06-28T22:14:00Z,refunded
A4347,0962,73.57,6,2025-06-27T05:00:00Z,PAID
A2816,0820,306.83,3,2025-05-12T11:31:00Z,Refunded
A3854,0603,261.02,3,2025-10-26T01:51:00Z,refund
A0433,0069,42.17,8,2025-02-09T01:15:00Z,refund
A1331,0999,422.84,6,2025-04-13T21:01:00Z,refunded
A4153,0178,346.25,8,2025-01-30T11:13:00Z,paid
A2846,0267,228.54,,2025-01-19T00:19:00Z,PAID
A4496,0187,108.46,9,2025-06-16T01:52:00Z,refund
A0094,0990,5.24,3,2025-04-15T22:24:00Z,Pending
A3640,0469,77.65,6,2025-12-20T01:27:00Z,Pending
A3886,0513,300.07,2,2025-12-11T13:44:00Z,refunded
A1971,0874,479.78,3,2025-01-07T22:23:00Z,Pending
A4535,0426,319.56,4,2025-03-25T08:13:00Z,paid
A0536,0316,,7,,Paid
A4049,0200,340.39,9,2025-06-24T18:23:00Z,refunded
A4342,0140,180.34,,2025-08-20T01:20:00Z,Refunded
A1087,0449,104.49,1,2025-02-01T20:11:00Z,Paid
A3965,0218,166.53,1,2025-12-04T18:12:00Z,Paid
A4233,0735,383.77,9,2025-10-02T13:07:00Z,Paid
A4346,0735,276.14,7,2025-09-06T13:09:00Z,Pending
A1323,0126,,8,2025-04-07T18:19:00Z,Pending
A0273,0790,40.69,6,2025-08-13T03:04:00Z,
A1776,0524,258.71,1,2025-12-05T17:29:00Z,paid
A4976,0162,338.36,8,2025-01-26T18:18:00Z,
A1822,0632,464.94,,2025-01-24T12:44:00Z,Pending
A4895,0159,447.48,4,2025-04-27T02:05:00Z,PAID
A0701,0666,69.82,5,2025-10-08T18:25:00Z,refund
A3772,0066,413.42,8,2025-04-19T19:14:00Z,Paid
A2030,0064,279.66,,,Pending
A0215,0182,463.52,7,2025-11-07T17:23:00Z,PAID
A0311,0052,282.82,5,2025-10-21T09:07:00Z,paid
A4136,0671,58.49,2,2025-07-28T18:56:00Z,refund
A0052,0154,278.64,4,2025-05-26T23:01:00Z,refund
A0236,0224,479.28,9,2025-02-07T01:36:00Z,refunded
A3201,0845,180.31,2,2025-07-03T19:51:00Z,Refunded
A2354,0982,487.86,1,2025-05-29T00:53:00Z,
A0194,0255,72.24,7,2025-04-30T10:48:00Z,refunded
A1110,0349,289.69,9,2025-10-08T20:28:00Z,refund
A1682,0500,145.43,7,2025-02-22T20:13:00Z,
A1352,0089,52.35,7,2025-11-04T11:13:00Z,Pending
A1877,0557,130.44,3,,Pending
A2355,0816,115.99,6,2025-09-27T06:54:00Z,refund
A4644,0337,334.37,9,2025-09-01T22:30:00Z,Pending
A4835,0596,178.56,5,2025-08-29T20:04:00Z,Pending
A3375,0014,,9,2025-07-31T09:40:00Z,paid
